date,symbol,name,industry,close,pred_score,target_weight,pct_change,news_catalyst,catalyst_score,sentiment_stage
2026-09-04,601857.SH,中国石油,炼化及贸易,11.17,0.692787725645352,0.145,-0.0036,行业景气度稳健修复，核心业务基本面边际向好,85.0,温和多头
2026-09-04,601728.SH,中国电信,通信服务,6.38,0.6770129260819121,0.125,-0.0031,行业景气度稳健修复，核心业务基本面边际向好,85.0,温和多头
2026-09-04,601288.SH,农业银行,银行Ⅱ,6.96,0.6612138873489685,0.11,0.0102,行业景气度稳健修复，核心业务基本面边际向好,85.0,温和多头
2026-09-04,601398.SH,工商银行,银行Ⅱ,8.13,0.6453900585563052,0.095,0.0037,行业景气度稳健修复，核心业务基本面边际向好,85.0,温和多头
2026-09-04,601998.SH,中信银行,银行Ⅱ,8.89,0.628661337494834,0.085,0.0125,行业景气度稳健修复，核心业务基本面边际向好,85.0,温和多头
2026-09-04,601088.SH,中国神华,煤炭开采,47.61,0.6145502263837228,0.08,-0.0036,行业景气度稳健修复，核心业务基本面边际向好,85.0,温和多头
2026-09-04,601633.SH,长城汽车,乘用车,14.94,0.5959430798637261,0.07,0.002,行业景气度稳健修复，核心业务基本面边际向好,85.0,温和多头
2026-09-04,600519.SH,贵州茅台,白酒Ⅱ,1330.0,0.581831968752615,0.06,0.024,行业景气度稳健修复，核心业务基本面边际向好,85.0,温和多头
2026-09-04,601988.SH,中国银行,银行Ⅱ,6.57,0.5677208576415038,0.05,0.0046,行业景气度稳健修复，核心业务基本面边际向好,85.0,温和多头
2026-09-04,001965.SZ,招商公路,铁路公路,9.8,0.5498879322310768,0.03,-0.0060999999999999995,行业景气度稳健修复，核心业务基本面边际向好,85.0,温和多头
