,CORR_PV_10,WVMA_10,CORR_PV_20,WVMA_20,TURNOVER_SURGE_5,TURNOVER_SURGE_20,TURNOVER_STD_20,AMOUNT_RATIO_5_20,LIMIT_UP_SPACE,IS_LIMIT_UP_LAG1
CORR_PV_10,1.0,0.16346837399962244,0.6988689688132974,0.19070525042163197,0.08074102135415905,0.15765734694092592,0.30017130670987535,0.17269934107461707,-0.016106819294670234,-0.03911672413070856
WVMA_10,0.16346837399962244,1.0,0.16766007097560204,0.8574949142344946,-0.048267145908564006,0.16076458031716162,0.7097379057298507,0.29129096078502936,0.13404501209143363,-0.06704022168286343
CORR_PV_20,0.6988689688132974,0.16766007097560204,1.0,0.1852872272717627,-0.023856989048604768,0.05256699209389374,0.35142782313817744,0.1369793043015888,0.07702088023973616,-0.008005693370781762
WVMA_20,0.19070525042163197,0.8574949142344946,0.1852872272717627,1.0,-0.0617958231733813,0.023403890257086557,0.7906884686418985,0.09862946886178754,0.13544617824811206,-0.0693998119049846
TURNOVER_SURGE_5,0.08074102135415905,-0.048267145908564006,-0.023856989048604768,-0.0617958231733813,1.0,0.7329423487398188,-0.08438422196928025,0.049081356261920374,-0.1751194099668067,0.006818217829198608
TURNOVER_SURGE_20,0.15765734694092592,0.16076458031716162,0.05256699209389374,0.023403890257086557,0.7329423487398188,1.0,-0.046609902189445857,0.6146593914240768,-0.1558876776404681,-0.040931377419692355
TURNOVER_STD_20,0.30017130670987535,0.7097379057298507,0.35142782313817744,0.7906884686418985,-0.08438422196928025,-0.046609902189445857,1.0,0.020027802610672676,0.12386026677838372,-0.04656308995806846
AMOUNT_RATIO_5_20,0.17269934107461707,0.29129096078502936,0.1369793043015888,0.09862946886178754,0.049081356261920374,0.6146593914240768,0.020027802610672676,1.0,-0.05869450036695828,-0.07364501885404337
LIMIT_UP_SPACE,-0.016106819294670234,0.13404501209143363,0.07702088023973616,0.13544617824811206,-0.1751194099668067,-0.1558876776404681,0.12386026677838372,-0.05869450036695828,1.0,-0.0024222608482557203
IS_LIMIT_UP_LAG1,-0.03911672413070856,-0.06704022168286343,-0.008005693370781762,-0.0693998119049846,0.006818217829198608,-0.040931377419692355,-0.04656308995806846,-0.07364501885404337,-0.0024222608482557203,1.0
