,VMA_RATIO_5,VSTD_5,VMA_RATIO_10,VSTD_10,VMA_RATIO_20,VSTD_20,VMA_RATIO_60,VSTD_60,CORR_PV_5,WVMA_5
VMA_RATIO_5,1.0,0.004054236726996836,0.8390657313177702,-0.0021765522851689718,0.7125805364044376,0.036131624123597425,0.5317281084597055,0.0353245926200205,-0.09431001858758913,-0.03114145238715997
VSTD_5,0.004054236726996836,1.0,-0.15192570963940052,0.5766470444372886,-0.1990073689810545,0.3644076763853656,-0.18637111495370098,0.2408129460463249,0.19835277059560408,0.27973111233431325
VMA_RATIO_10,0.8390657313177702,-0.15192570963940052,1.0,-0.015151493426905176,0.8817843324630573,0.02444111539949415,0.6776177510703542,0.02600023542832607,-0.1274587800600743,-0.23113420239476717
VSTD_10,-0.0021765522851689718,0.5766470444372886,-0.015151493426905176,1.0,-0.142884897424208,0.6528567818411043,-0.17345210187231733,0.3410348959842767,0.13479894301332757,0.08947746286651685
VMA_RATIO_20,0.7125805364044376,-0.1990073689810545,0.8817843324630573,-0.142884897424208,1.0,-0.025826466203754696,0.8056816874814802,0.0014694273115350488,-0.12480255325992262,-0.2582026413392016
VSTD_20,0.036131624123597425,0.3644076763853656,0.02444111539949415,0.6528567818411043,-0.025826466203754696,1.0,-0.13265024943422515,0.496010179829917,0.1414086369843511,0.08211036964492296
VMA_RATIO_60,0.5317281084597055,-0.18637111495370098,0.6776177510703542,-0.17345210187231733,0.8056816874814802,-0.13265024943422515,1.0,-0.01096243321989146,-0.15259509940972704,-0.31869806605443257
VSTD_60,0.0353245926200205,0.2408129460463249,0.02600023542832607,0.3410348959842767,0.0014694273115350488,0.496010179829917,-0.01096243321989146,1.0,0.1339265308840961,0.084304767594628
CORR_PV_5,-0.09431001858758913,0.19835277059560408,-0.1274587800600743,0.13479894301332757,-0.12480255325992262,0.1414086369843511,-0.15259509940972704,0.1339265308840961,1.0,0.13829081472040905
WVMA_5,-0.03114145238715997,0.27973111233431325,-0.23113420239476717,0.08947746286651685,-0.2582026413392016,0.08211036964492296,-0.31869806605443257,0.084304767594628,0.13829081472040905,1.0
