signal_date,entry_date,entry_price_type,earliest_exit_date,actual_exit_date,exit_delay_days,exit_attempt_count,exit_status,exit_price_type,requested_long_count,executed_long_count,rejected_long_count,long_gross_return,benchmark_return,long_excess_return,entry_commission,exit_commission,stamp_duty,slippage,total_cost,long_net_return,factor_diagnostic_spread,long_turnover,short_turnover,gross_turnover,long_equity_curve,bench_equity_curve
2021-12-29,2021-12-30,open,2021-12-31,2022-01-14,5,6,UNEXECUTED_TIMEOUT,open,54,54,0,-0.01469023990391962,-0.028316178344157672,0.013625938440238052,0.0003,0.0003,0.0005,0.0004,0.0015,-0.016190239903919622,-0.03417818426498462,1.0,1.0,1.0,0.9838097600960803,0.9716838216558423
2021-12-30,2021-12-31,open,2022-01-04,2022-01-17,4,5,UNEXECUTED_TIMEOUT,open,55,55,0,-0.009584552560770543,-0.04226927877738007,0.032684726216609526,3.8181818181818194e-05,3.8181818181818194e-05,6.363636363636365e-05,5.090909090909093e-05,0.00019090909090909098,-0.009775461651679633,-0.022761688116718477,0.12727272727272732,1.0,0.5636363636363637,0.9741925655137129,0.9306114473148015
2021-12-31,2022-01-04,open,2022-01-05,2022-01-18,5,5,UNEXECUTED_TIMEOUT,open,55,55,0,-0.017672582242445584,-0.03856466660642721,0.020892084363981628,2.727272727272728e-05,2.727272727272728e-05,4.545454545454547e-05,3.636363636363638e-05,0.00013636363636363642,-0.01780894587880922,0.000960577726500024,0.09090909090909094,1.0,0.5454545454545454,0.9568432228389409,0.8947227271089815
2022-01-04,2022-01-05,open,2022-01-06,2022-01-19,5,5,UNEXECUTED_TIMEOUT,open,55,55,0,-0.021157959107704936,-0.018770419738647903,-0.0023875393690570325,2.727272727272728e-05,2.727272727272728e-05,4.545454545454547e-05,3.636363636363638e-05,0.00013636363636363642,-0.02129432274406857,0.010375806625826784,0.09090909090909094,1.0,0.5454545454545454,0.9364678944363337,0.8779284059714382
2022-01-05,2022-01-06,open,2022-01-07,2022-01-20,5,5,UNEXECUTED_TIMEOUT,open,55,55,0,-0.003661357808982882,-0.013195361735557465,0.009534003926574584,2.727272727272728e-05,2.727272727272728e-05,4.545454545454547e-05,3.636363636363638e-05,0.00013636363636363642,-0.0037977214453465183,-0.012764557200292386,0.09090909090909094,1.0,0.5454545454545454,0.9329114502307544,0.8663438230767238
2022-01-06,2022-01-07,open,2022-01-10,2022-01-21,5,5,UNEXECUTED_TIMEOUT,open,55,55,0,-0.006856639203071515,-0.00322221710923698,-0.0036344220938345348,1.636363636363637e-05,1.636363636363637e-05,2.7272727272727283e-05,2.1818181818181828e-05,8.181818181818184e-05,-0.006938457384889697,0.014287137350326464,0.054545454545454564,1.0,0.5272727272727273,0.9264384838894526,0.8635522751875242
2022-01-07,2022-01-10,open,2022-01-11,2022-01-24,5,6,UNEXECUTED_TIMEOUT,open,55,55,0,0.0005606297046404847,-0.012112679568516027,0.012673309273156512,3.272727272727274e-05,3.272727272727274e-05,5.4545454545454567e-05,4.3636363636363656e-05,0.00016363636363636369,0.00039699334100412104,-0.007433789569864806,0.10909090909090913,1.0,0.5545454545454546,0.9268062737984067,0.8530923431875147
2022-01-10,2022-01-11,open,2022-01-12,2022-01-25,5,6,UNEXECUTED_TIMEOUT,open,55,55,0,-0.021387374813921573,-0.01612786257215637,-0.0052595122417652025,4.363636363636365e-05,4.363636363636365e-05,7.272727272727276e-05,5.8181818181818206e-05,0.00021818181818181827,-0.021605556632103392,-0.019263288933327873,0.1454545454545455,1.0,0.5727272727272728,0.9067821083628665,0.8393337871152277
2022-01-11,2022-01-12,open,2022-01-13,2022-01-26,5,6,UNEXECUTED_TIMEOUT,open,55,55,0,0.0007359564566624112,-0.025273662606948966,0.026009619063611378,2.727272727272728e-05,2.727272727272728e-05,4.545454545454547e-05,3.636363636363638e-05,0.00013636363636363642,0.0005995928202987748,0.00039439144601390133,0.09090909090909094,1.0,0.5454545454545454,0.9073258084046164,0.8181207481650646
2022-01-12,2022-01-13,open,2022-01-14,2022-01-27,5,6,UNEXECUTED_TIMEOUT,open,55,55,0,-0.029021269041852735,-0.029864222997957324,0.0008429539561045883,2.1818181818181825e-05,2.1818181818181825e-05,3.636363636363638e-05,2.9090909090909103e-05,0.00010909090909090913,-0.029130359950943645,0.0005751382107577613,0.07272727272727275,1.0,0.5363636363636364,0.8808950810130091,0.7936882077026075
