Unnamed: 0,KMID,KLEN,KMID2,KUP,KLOW,KSFT,ROC5,MAX_RATIO_5,MIN_RATIO_5,MA_RATIO_5,ROC10,MAX_RATIO_10,MIN_RATIO_10,MA_RATIO_10,ROC20,MAX_RATIO_20,MIN_RATIO_20,MA_RATIO_20,ROC30,MAX_RATIO_30
KMID,1.0,0.1236097034804606,0.8673880715431977,0.202172427085855,-0.0529830611172178,0.7853604514437194,0.3488069620930313,-0.4952698811773046,-0.4774490834275915,-0.5954015562305481,,,,,,,,,,
KLEN,0.1236097034804606,1.0,0.1083481924305678,0.3898045458223846,0.2741711417046167,0.032576320903082,0.1626164680584803,0.1082512893741879,-0.362255041482944,-0.1561028960138009,,,,,,,,,,
KMID2,0.8673880715431977,0.1083481924305678,1.0,0.1837518148327895,-0.0369973357833031,0.6773928618427577,0.3043512892817964,-0.4518876276198145,-0.4334211724502541,-0.5145299853907578,,,,,,,,,,
KUP,0.202172427085855,0.3898045458223846,0.1837518148327895,1.0,0.078360591572116,-0.1812919912419111,0.1245960638826908,-0.0299032550467305,-0.1963700423822658,-0.1411177755482248,,,,,,,,,,
KLOW,-0.0529830611172178,0.2741711417046167,-0.0369973357833031,0.078360591572116,1.0,0.2336226593536922,0.0489310338522623,0.0562340357363825,-0.0905643009373463,-0.0255216163043764,,,,,,,,,,
KSFT,0.7853604514437194,0.032576320903082,0.6773928618427577,-0.1812919912419111,0.2336226593536922,1.0,0.2862937499690156,-0.4239861646669901,-0.3826180798966063,-0.4964831611961059,,,,,,,,,,
ROC5,0.3488069620930313,0.1626164680584803,0.3043512892817964,0.1245960638826908,0.0489310338522623,0.2862937499690156,1.0,-0.5608208397405625,-0.641032573569585,-0.759637726492044,,,,,,,,,,
MAX_RATIO_5,-0.4952698811773046,0.1082512893741879,-0.4518876276198145,-0.0299032550467305,0.0562340357363825,-0.4239861646669901,-0.5608208397405625,1.0,0.4269324818169701,0.7591078215315532,,,,,,,,,,
MIN_RATIO_5,-0.4774490834275915,-0.362255041482944,-0.4334211724502541,-0.1963700423822658,-0.0905643009373463,-0.3826180798966063,-0.641032573569585,0.4269324818169701,1.0,0.7707035406904867,,,,,,,,,,
MA_RATIO_5,-0.5954015562305481,-0.1561028960138009,-0.5145299853907578,-0.1411177755482248,-0.0255216163043764,-0.4964831611961059,-0.759637726492044,0.7591078215315532,0.7707035406904867,1.0,,,,,,,,,,
ROC10,,,,,,,,,,,1.0,-0.5772796744686421,-0.6914645481841178,-0.7924601517652157,0.6375628938288931,-0.6326032861429066,-0.6863937728500694,-0.883517423923092,0.5001284305925802,-0.5762363247976717
MAX_RATIO_10,,,,,,,,,,,-0.5772796744686421,1.0,0.4047098939823971,0.7438068665876402,-0.3411274700928425,0.7401693610655807,0.3173856232046425,0.5961265572145152,-0.2397312205363542,0.613702399280284
MIN_RATIO_10,,,,,,,,,,,-0.6914645481841178,0.4047098939823971,1.0,0.7767129099361982,-0.4902682533173224,0.3902237671018386,0.7649435648818828,0.6999985800433993,-0.4046863455853408,0.3527767618692956
MA_RATIO_10,,,,,,,,,,,-0.7924601517652157,0.7438068665876402,0.7767129099361982,1.0,-0.523736354822332,0.6406904718814919,0.6379856701294928,0.8238186243293909,-0.4097937629768757,0.5597707876901832
ROC20,,,,,,,,,,,0.6375628938288931,-0.3411274700928425,-0.4902682533173224,-0.523736354822332,1.0,-0.5767374546295048,-0.7163234985630071,-0.8075014890408724,0.7560763831806558,-0.6396168452144796
MAX_RATIO_20,,,,,,,,,,,-0.6326032861429066,0.7401693610655807,0.3902237671018386,0.6406904718814919,-0.5767374546295048,1.0,0.3864813217683071,0.7305044632202652,-0.4093589774452955,0.8519218145414525
MIN_RATIO_20,,,,,,,,,,,-0.6863937728500694,0.3173856232046425,0.7649435648818828,0.6379856701294928,-0.7163234985630071,0.3864813217683071,1.0,0.7806726760091174,-0.5773816138919793,0.3933826425073785
MA_RATIO_20,,,,,,,,,,,-0.883517423923092,0.5961265572145152,0.6999985800433993,0.8238186243293909,-0.8075014890408724,0.7305044632202652,0.7806726760091174,1.0,-0.6233776480452273,0.6855505994731507
ROC30,,,,,,,,,,,0.5001284305925802,-0.2397312205363542,-0.4046863455853408,-0.4097937629768757,0.7560763831806558,-0.4093589774452955,-0.5773816138919793,-0.6233776480452273,1.0,-0.5653839622568076
MAX_RATIO_30,,,,,,,,,,,-0.5762363247976717,0.613702399280284,0.3527767618692956,0.5597707876901832,-0.6396168452144796,0.8519218145414525,0.3933826425073785,0.6855505994731507,-0.5653839622568076,1.0
